canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
0711019,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 560, ""turnout_pct"": 0.743, ""support_pct"": 0.685}"
0711020,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 394, ""turnout_pct"": 0.706, ""support_pct"": 0.676}"
0718001,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1545, ""turnout_pct"": 0.72, ""support_pct"": 0.761}"
0718002,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1209, ""turnout_pct"": 0.691, ""support_pct"": 0.745}"
0718003,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 348, ""turnout_pct"": 0.67, ""support_pct"": 0.815}"
0718004,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1621, ""turnout_pct"": 0.718, ""support_pct"": 0.727}"
0718005,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1574, ""turnout_pct"": 0.726, ""support_pct"": 0.811}"
0718006,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1587, ""turnout_pct"": 0.7, ""support_pct"": 0.761}"
0720001,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 256, ""turnout_pct"": 0.598, ""support_pct"": 0.654}"
0720002,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1049, ""turnout_pct"": 0.705, ""support_pct"": 0.732}"
0720003,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 706, ""turnout_pct"": 0.688, ""support_pct"": 0.706}"
0720004,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 64, ""turnout_pct"": 0.781, ""support_pct"": 0.76}"
0720005,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 491, ""turnout_pct"": 0.692, ""support_pct"": 0.641}"
0720006,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 341, ""turnout_pct"": 0.607, ""support_pct"": 0.585}"
0720007,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 395, ""turnout_pct"": 0.671, ""support_pct"": 0.589}"
0720008,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 96, ""turnout_pct"": 0.771, ""support_pct"": 0.514}"
0720009,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0720010,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 480, ""turnout_pct"": 0.667, ""support_pct"": 0.622}"
0720011,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1728, ""turnout_pct"": 0.695, ""support_pct"": 0.642}"
0720012,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2315, ""turnout_pct"": 0.7, ""support_pct"": 0.629}"
0720013,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 318, ""turnout_pct"": 0.752, ""support_pct"": 0.728}"
0720014,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 748, ""turnout_pct"": 0.662, ""support_pct"": 0.636}"
0720015,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 178, ""turnout_pct"": 0.562, ""support_pct"": 0.42}"
0720016,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 301, ""turnout_pct"": 0.551, ""support_pct"": 0.494}"
