canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0725016,REGION_09,9,Region 09,61,0,0.0
0726001,REGION_10,10,Region 10,47,0,0.0
0726002,REGION_04,4,Region 04,41,0,0.0
0726003,REGION_09,9,Region 09,61,0,0.0
0726004,REGION_10,10,Region 10,47,0,0.0
0730001,REGION_02,2,Region 02,64,0,0.0
0730002,REGION_04,4,Region 04,41,0,0.0
0730003,REGION_07,7,Region 07,41,0,0.0
0730004,REGION_09,9,Region 09,61,0,0.0
0730005,REGION_09,9,Region 09,61,0,0.0
0731001,REGION_04,4,Region 04,41,0,0.0
0731002,REGION_04,4,Region 04,41,0,0.0
0731003,REGION_04,4,Region 04,41,0,0.0
0731004,REGION_09,9,Region 09,61,0,0.0
0731005,REGION_02,2,Region 02,64,0,0.0
0731006,REGION_04,4,Region 04,41,0,0.0
0731007,REGION_05,5,Region 05,24,0,0.0
0731008,REGION_04,4,Region 04,41,0,0.0
0731009,REGION_04,4,Region 04,41,0,0.0
0731010,REGION_09,9,Region 09,61,0,0.0
0731011,REGION_02,2,Region 02,64,0,0.0
0736001,REGION_02,2,Region 02,64,0,0.0
0736002,REGION_09,9,Region 09,61,0,0.0
0736003,REGION_02,2,Region 02,64,0,0.0
0736004,REGION_02,2,Region 02,64,0,0.0
0736005,REGION_10,10,Region 10,47,0,0.0
0736006,REGION_10,10,Region 10,47,0,0.0
0736007,REGION_07,7,Region 07,41,0,0.0
0736008,REGION_10,10,Region 10,47,0,0.0
0740001,REGION_08,8,Region 08,26,0,0.0
0740002,REGION_07,7,Region 07,41,0,0.0
0740003,REGION_07,7,Region 07,41,0,0.0
0740004,REGION_07,7,Region 07,41,0,0.0
0740005,REGION_08,8,Region 08,26,0,0.0
0740006,REGION_08,8,Region 08,26,0,0.0
0740007,REGION_02,2,Region 02,64,0,0.0
0740008,REGION_07,7,Region 07,41,0,0.0
0740009,REGION_07,7,Region 07,41,0,0.0
0740010,REGION_08,8,Region 08,26,0,0.0
0740011,REGION_08,8,Region 08,26,0,0.0
0740012,REGION_05,5,Region 05,24,0,0.0
0740013,REGION_06,6,Region 06,26,0,0.0
0740014,REGION_10,10,Region 10,47,0,0.0
0740015,REGION_08,8,Region 08,26,0,0.0
0740016,REGION_08,8,Region 08,26,0,0.0
0740017,REGION_10,10,Region 10,47,0,0.0
0740018,REGION_09,9,Region 09,61,0,0.0
0740019,REGION_10,10,Region 10,47,0,0.0
0740020,REGION_01,1,Region 01,25,0,0.0
0740021,REGION_10,10,Region 10,47,0,0.0
0740022,REGION_07,7,Region 07,41,0,0.0
0740023,REGION_06,6,Region 06,26,0,0.0
0740024,REGION_10,10,Region 10,47,0,0.0
0740025,REGION_02,2,Region 02,64,0,0.0
0740026,REGION_05,5,Region 05,24,0,0.0
0740027,REGION_03,3,Region 03,35,0,0.0
0740028,REGION_07,7,Region 07,41,0,0.0
0740029,REGION_07,7,Region 07,41,0,0.0
0740030,REGION_07,7,Region 07,41,0,0.0
0740031,REGION_03,3,Region 03,35,0,0.0
0740032,REGION_07,7,Region 07,41,0,0.0
0740033,REGION_07,7,Region 07,41,0,0.0
0740034,REGION_05,5,Region 05,24,0,0.0
0741001,REGION_09,9,Region 09,61,0,0.0
0741002,REGION_10,10,Region 10,47,0,0.0
0741003,REGION_02,2,Region 02,64,0,0.0
0741004,REGION_09,9,Region 09,61,0,0.0
0741005,REGION_09,9,Region 09,61,0,0.0
0741006,REGION_04,4,Region 04,41,0,0.0
0741007,REGION_07,7,Region 07,41,0,0.0
0741008,REGION_04,4,Region 04,41,0,0.0
0741009,REGION_09,9,Region 09,61,0,0.0
0741010,REGION_09,9,Region 09,61,0,0.0
0741011,REGION_10,10,Region 10,47,0,0.0
0741012,REGION_09,9,Region 09,61,0,0.0
0742001,REGION_10,10,Region 10,47,0,0.0
0742002,REGION_07,7,Region 07,41,0,0.0
0744001,REGION_02,2,Region 02,64,0,0.0
0744002,REGION_09,9,Region 09,61,0,0.0
0744003,REGION_04,4,Region 04,41,0,0.0
0744004,REGION_09,9,Region 09,61,0,0.0
0744005,REGION_09,9,Region 09,61,0,0.0
0749001,REGION_10,10,Region 10,47,0,0.0
0749002,REGION_10,10,Region 10,47,0,0.0
0749003,REGION_07,7,Region 07,41,0,0.0
0749004,REGION_07,7,Region 07,41,0,0.0
0749005,REGION_07,7,Region 07,41,0,0.0
0749006,REGION_10,10,Region 10,47,0,0.0
0749007,REGION_07,7,Region 07,41,0,0.0
0749008,REGION_02,2,Region 02,64,0,0.0
0749009,REGION_07,7,Region 07,41,0,0.0
0750001,REGION_09,9,Region 09,61,0,0.0
0750002,REGION_05,5,Region 05,24,0,0.0
0750003,REGION_04,4,Region 04,41,0,0.0
0750004,REGION_08,8,Region 08,26,0,0.0
0750005,REGION_09,9,Region 09,61,0,0.0
0750006,REGION_04,4,Region 04,41,0,0.0
0750007,REGION_09,9,Region 09,61,0,0.0
0750008,REGION_09,9,Region 09,61,0,0.0
0750009,REGION_01,1,Region 01,25,0,0.0
0750010,REGION_02,2,Region 02,64,0,0.0
0750011,REGION_09,9,Region 09,61,0,0.0
0750012,REGION_05,5,Region 05,24,0,0.0
0750013,REGION_09,9,Region 09,61,0,0.0
0750014,REGION_02,2,Region 02,64,0,0.0
0750015,REGION_09,9,Region 09,61,0,0.0
0750016,REGION_07,7,Region 07,41,0,0.0
0750017,REGION_09,9,Region 09,61,0,0.0
0750018,REGION_04,4,Region 04,41,0,0.0
0750019,REGION_04,4,Region 04,41,0,0.0
0750020,REGION_04,4,Region 04,41,0,0.0
0750021,REGION_05,5,Region 05,24,0,0.0
0750022,REGION_09,9,Region 09,61,0,0.0
0750023,REGION_01,1,Region 01,25,0,0.0
0750024,REGION_05,5,Region 05,24,0,0.0
0750025,REGION_02,2,Region 02,64,0,0.0
0750026,REGION_02,2,Region 02,64,0,0.0
