"county","srprec","city","n_in_city","n"
"49","0750034","SEBASTOPOL","555","565"
"49","0750041","SEBASTOPOL","109","133"
"49","0750043","SEBASTOPOL","81","97"
"49","0750044","OCCIDENTAL","880","1720"
"49","0750048","CAMP MEEKER","333","407"
"49","0750002","SEBASTOPOL","1235","1235"
"49","0750049","SEBASTOPOL","217","217"
"49","0750003","FORESTVILLE","305","305"
"49","0750005","FORESTVILLE","202","242"
"49","0750007","FORESTVILLE","490","490"
"49","0750052","SEBASTOPOL","1063","1063"
"49","0750050","SEBASTOPOL","319","319"
"49","0750051","SEBASTOPOL","885","887"
"49","0750040","SEBASTOPOL","551","821"
"49","0500076","SANTA ROSA","138","249"
"49","0750054","SANTA ROSA","100","100"
"49","0500079","SEBASTOPOL","117","117"
"49","0500080","SEBASTOPOL","7","7"
"49","0500081","SEBASTOPOL","203","203"
"49","0750053","SEBASTOPOL","138","138"
"49","0750045","SEBASTOPOL","2126","2153"
"49","0750009","FORESTVILLE","28","34"
"49","0500087","SANTA ROSA","534","534"
"49","0750011","GUERNEVILLE","134","134"
"49","0750008","CAZADERO","952","952"
"49","0750036","HEALDSBURG","87","87"
"49","0750012","MONTE RIO","635","679"
"49","0750013","DUNCANS MILLS","39","48"
"49","0750014","MONTE RIO","118","178"
"49","0750015","GUERNEVILLE","154","217"
"49","0500119","CAMP MEEKER","15","15"
"49","0750016","OCCIDENTAL","48","82"
"49","0500127","OCCIDENTAL","79","79"
"49","0750017","JENNER","125","125"
"49","0750010","JENNER","42","42"
"49","0500132","JENNER","1","1"
"49","0750055","BODEGA BAY","920","931"
"49","0750056","VALLEY FORD","125","208"
"49","0500146","BODEGA BAY","4","5"
"49","0500149","OCCIDENTAL","180","180"
"49","0500162","SANTA ROSA","5","5"
"49","0750042","SEBASTOPOL","29","29"
"49","0750020","SEBASTOPOL","1058","1058"
"49","0750057","GRATON","526","977"
"49","0750004","GUERNEVILLE","97","104"
"49","0500179","SEBASTOPOL","759","759"
"49","0750021","FORESTVILLE","424","786"
"49","0750022","SEBASTOPOL","306","494"
"49","0750023","FORESTVILLE","1520","1520"
"49","0500198","HEALDSBURG","3","3"
"49","0500202","FORESTVILLE","25","25"
"49","0500208","SEBASTOPOL","2","2"
"49","0750024","GUERNEVILLE","775","775"
"49","0750025","GUERNEVILLE","613","720"
"49","0750006","GUERNEVILLE","123","147"
"49","0750026","GUERNEVILLE","1065","1065"
"49","0750027","GUERNEVILLE","106","108"
"49","0750028","GUERNEVILLE","3","4"
"49","0500238","FORESTVILLE","1","1"
"49","0750030","GUERNEVILLE","335","335"
"49","0750029","GUERNEVILLE","35","35"
"49","0500251","GUERNEVILLE","101","101"
"49","0500261","FORESTVILLE","122","122"
"49","0750037","HEALDSBURG","2","2"
"49","0750018","THE SEA RANCH","817","1019"
"49","0500264","STEWARTS POINT","17","17"
"49","0750019","JENNER","141","276"
"49","0750031","GEYSERVILLE","23","24"
"49","0500273","SANTA ROSA","244","244"
"49","0500278","SEBASTOPOL","64","64"
"49","0750046","SEBASTOPOL","582","582"
"49","0750047","SEBASTOPOL","255","255"
"49","0500294","SANTA ROSA","3","3"
"49","0500306","SANTA ROSA","8","8"
"49","0500307","MONTE RIO","60","84"
"49","0751001","SANTA ROSA","1850","1850"
"49","0751002","SANTA ROSA","1187","1187"
"49","0751003","SANTA ROSA","1854","1854"
"49","0751004","SANTA ROSA","1335","1335"
"49","0510005","SANTA ROSA","1473","1473"
"49","0510007","SANTA ROSA","1410","1410"
"49","0510008","SANTA ROSA","1097","1097"
"49","0510009","SANTA ROSA","2245","2245"
"49","0510010","SANTA ROSA","914","914"
"49","0510011","SANTA ROSA","830","830"
"49","0510012","SANTA ROSA","162","162"
"49","0510013","SANTA ROSA","1813","1813"
"49","0751005","SANTA ROSA","1498","1498"
"49","0510015","SANTA ROSA","1139","1139"
"49","0751006","SANTA ROSA","1708","1708"
"49","0751007","SANTA ROSA","1717","1717"
"49","0510026","SANTA ROSA","1391","1391"
"49","0510033","SANTA ROSA","239","239"
"49","0757001","SEBASTOPOL","955","955"
"49","0757002","SEBASTOPOL","1801","1801"
"49","0570004","SEBASTOPOL","1249","1249"
"49","0570007","SEBASTOPOL","13","13"
"49","0570009","SEBASTOPOL","1612","1612"
"49","0570010","SEBASTOPOL","23","23"
