mprec,srprec
"0400016","0740025"
"0400017","0740008"
"0400018","0740008"
"0400019","0740008"
"0400020","0740008"
"0400021","0740021"
"0400022","0740021"
"0400023","0740008"
"0400024","0740021"
"0400025","0740008"
"0400026","0740022"
"0400027","0740022"
"0400028","0740022"
"0400029","0740022"
"0400030","0740022"
"0400031","0740021"
"0400032","0400032"
"0400033","0740025"
"0400034","0740025"
"0400035","0740025"
"0400036","0740025"
"0400037","0740006"
"0400038","0740006"
"0400039","0740006"
"0400040","0740006"
"0400041","0740006"
"0400042","0740006"
"0400043","0740007"
"0400044","0740007"
"0400045","0740007"
"0400046","0740004"
"0400047","0740004"
"0400048","0740004"
"0400049","0740004"
"0400050","0740025"
"0400051","0740004"
"0400052","0740002"
"0400053","0740005"
"0400054","0740003"
"0400055","0740001"
"0400056","0740003"
"0400057","0740005"
"0400058","0740002"
"0400059","0740002"
"0400060","0740002"
"0400061","0740005"
"0400062","0740009"
"0400063","0740010"
"0400064","0740010"
"0400065","0740010"
"0400066","0740010"
"0400067","0740010"
"0400068","0740026"
"0400069","0740026"
"0400070","0740026"
"0400071","0400071"
"0400072","0740026"
"0400073","0740003"
"0400074","0740001"
"0400075","0740001"
"0400076","0400076"
"0400077","0740002"
"0400078","0740002"
"0400079","0740001"
"0400080","0740003"
"0400081","0740003"
"0400082","0740003"
"0400083","0740011"
"0400084","0740011"
"0400085","0740011"
"0400086","0740027"
"0400087","0740028"
"0400088","0740028"
"0400089","0740027"
"0400090","0740022"
"0400091","0740023"
"0400092","0740023"
"0400093","0740026"
"0400094","0740029"
"0400095","0740029"
"0400096","0740029"
"0400097","0740030"
"0400098","0740030"
"0400099","0740028"
"0400100","0740028"
"0400101","0740028"
"0400102","0740028"
"0400103","0740031"
"0400104","0740012"
"0400105","0740031"
"0400106","0740031"
"0400107","0740012"
"0400108","0740029"
"0400109","0400109"
"0400110","0740031"
"0400111","0400111"
"0400112","0740023"
"0400113","0740023"
"0400114","0740032"
"0400115","0740032"
"0400116","0400116"
"0400117","0400117"
"0400118","0400118"
"0400119","0740010"
"0400120","0740032"
"0400121","0740013"
"0400122","0740027"
"0400123","0740007"
"0400124","0400124"
"0400125","0740004"
"0400126","0740014"
"0400127","0740014"
"0400128","0740015"
"0400129","0740009"
"0400130","0740009"
"0400131","0740009"
"0400132","0740016"
"0400133","0740016"
"0400134","0740016"
"0400135","0740017"
"0400136","0740014"
"0400137","0740009"
"0400138","0740009"
"0400139","0740014"
"0400140","0740014"
"0400141","0740011"
"0400142","0740021"
"0400143","0740024"
"0400144","0740024"
"0400145","0740015"
"0400146","0740024"
"0400147","0740014"
"0400148","0740024"
"0400149","0740024"
"0400150","0740029"
"0400151","0740023"
"0400152","0740023"
"0400153","0740031"
"0400154","0740029"
"0400155","0740027"
"0400156","0740027"
"0400157","0740027"
"0400158","0740007"
"0400159","0740007"
"0400160","0740018"
"0400161","0740017"
"0400162","0740017"
"0400163","0740017"
"0400164","0740018"
"0400165","0740018"
"0400166","0740013"
"0400167","0740012"
"0400168","0740017"
"0400169","0400169"
"0400170","0400170"
"0400171","0740031"
"0400172","0740013"
"0400173","0740011"
"0400174","0740021"
"0400175","0740011"
"0400176","0740017"
"0400177","0740012"
"0400178","0400178"
